area,project,type,longitude,latitude,year_closed
Barka Sayal,Bhurkunda,Underground,85.3512,23.6571,
Barka Sayal,Bhurkunda,Opencast,85.3512,23.6571,
Barka Sayal,Central Saunda,Underground,85.3269,23.6643,2013
Barka Sayal,Saunda-D,Underground,85.3268,23.6638,2018
Barka Sayal,Saunda,Underground,85.3268,23.6638,
Barka Sayal,Sayal-D,Underground,85.3235,23.686,2018
Barka Sayal,Sayal-D ,Opencast,85.3235,23.686,2001
Barka Sayal,Urimari,Underground,85.3142,23.6917,
Barka Sayal,Urimari,Opencast,85.3142,23.6917,
Barka Sayal,North Urimari/ Birsa,Opencast,85.3142,23.6917,
Barka Sayal,Associated Karanpura ,Underground,,,1999
Barka Sayal,Khas Karanpura ,Underground,,,1999
Barka Sayal,Hindegir ,Underground,,,2002
Barka Sayal,UK Incline No.25&26,Underground,,,2002
Argada,Gidi -A,Opencast,85.3651,23.6892,
Argada,Gidi -C,Opencast,85.3651,23.6892,
Argada,Religara,Opencast,85.3751,23.6813,
Argada,Religara,Underground,85.3751,23.6813,
Argada,Sirka,Opencast,85.4352,23.6442,
Argada,Sirka,Underground,85.4352,23.6442,2018
Argada,Argada,Underground,85.356277,23.688736,2018
North Karanpura,Churi,Underground,85.0131,23.6554,
North Karanpura,Dakra Bukbuka,Opencast,85.0121,23.6696,
North Karanpura,K. D. H.,Opencast,85.0009,23.6697,
North Karanpura,Kerkatta,Opencast,85.0102,23.6679,2012
North Karanpura,Rohini,Opencast,84.9907,23.6907,
North Karanpura,Purnadih ,Opencast,84.9932,23.7054,
Rajhara,Rajhara,Opencast,84.0779,24.1327,
Rajhara,Tetariakhar,Opencast,84.8454,23.8073,
Rajhara,Hutar ,Underground,,,1998
Piparwar,piparwar,Opencast,85.0397,23.7219,
Piparwar,Ray- Bachra,Underground,85.0709,23.689,2018
Piparwar,Ashoka,Opencast,85.015512,23.726865,
Rajrappa,Rajrappa ,Opencast,85.6734,23.617,
Kuju,Sarubera ,Underground,85.5542,23.7578,
Kuju,Sarubera ,Opencast,85.5542,23.7578,
Kuju,Ara ,Opencast,85.5421,23.7499,
Kuju,Kuju ,Underground,,,2018
Kuju,Topa ,Opencast,85.4805,23.7396,
Kuju,Topa ,Underground,85.4816,23.7398,2018
Kuju,Pindra ,Underground,85.481,23.7389,2013
Kuju,Pindra ,Opencast,85.481,23.7389,
Kuju,Pundi ,Opencast,85.5063343,23.7634302,
Kuju,Karma,Opencast,,,
Kuju,Gidhania,Underground,,,1977
Kuju,Semra ,Underground,,,1997
Hazaribag,Parej East ,Opencast,85.4855,23.7391,
Hazaribag,Kedla ,Underground,85.4873,23.7407,
Hazaribag,Kedla ,Opencast,85.4873,23.7407,
Hazaribag,Tapin ,Opencast,85.502,23.829,
Hazaribag,Jharkhand ,Opencast,85.4871,23.7411,
Bokaro & Kargali,Bokaro ,Opencast,85.9498,23.777,
Bokaro & Kargali,Kargali ,Opencast,85.9918,23.774,
Bokaro & Kargali,Kargali ,Underground,85.9907,23.7696,2018
Bokaro & Kargali,Karo ,Opencast,85.9675,23.7847,
Bokaro & Kargali,Karo ,Underground,85.9675,23.7847,
Bokaro & Kargali,Khas Mahal ,Opencast,85.8661,23.8004,
Bokaro & Kargali,Khas Mahal ,Underground,85.8661,23.8004,
Bokaro & Kargali,Karo Spl. ,Underground,85.972,23.7929,2016
Bokaro & Kargali,Giridih ,Opencast,86.3016,24.153,
Bokaro & Kargali,Giridih ,Underground,86.3016,24.153,1999
Bokaro & Kargali,Kabribad ,Opencast,86.301,24.1541,
Bokaro & Kargali,Kabribad Incline ,Underground,86.301,24.1541,1990
Bokaro & Kargali,Dhobidih ,Underground,86.2545,24.1718,1990
Bokaro & Kargali,Bhadua ,Opencast,,,2000
Dhori,New Selected Dhori,Underground,86.0407,23.763,2013
Kathara,Kathara ,Opencast,85.8868,23.7709,
Kathara,Jarangdih ,Opencast,85.9298,23.7699,
Kathara,Jarangdih ,Underground,85.9298,23.7699,2018
Kathara,Sawang,Underground,85.864171,23.803318,2018
Kathara,Sawang ,Opencast,85.864171,23.803318,
Kathara,Govindpur ,Underground,85.8509,23.8024,
Kathara,Piparadih ,Underground,85.8404,23.8053,1992
Magadh Amrapali,Magadh ,Opencast,84.9897,23.8898,
Magadh Amrapali,Amrapali ,Opencast,85.0035,23.8874,